Designator,Mid X,Mid Y,Layer,Rotation
R97,77.52,10.82,Top,270.0
R98,80.98,10.82,Top,270.0
R99,82.04,10.82,Top,270.0
R100,83.11,10.82,Top,270.0
R101,83.64,19.96,Top,270.0
R102,78.59,10.82,Top,90.0
R103,86.46,19.99,Top,270.0
R104,92.00,28.51,Top,0.0
R105,88.95,26.97,Top,180.0
R106,86.94,10.85,Top,270.0
R107,90.40,10.85,Top,270.0
R108,91.47,10.85,Top,270.0
R109,92.53,10.85,Top,270.0
R110,93.07,19.99,Top,270.0
R111,88.01,10.85,Top,90.0
R112, 6.88,70.46,Top,270.0
R113,11.05,79.00,Top,0.0
R114, 8.00,77.47,Top,180.0
R115, 7.37,61.32,Top,270.0
R116,10.82,61.32,Top,270.0
R117,11.89,61.32,Top,270.0
R118,12.95,61.32,Top,270.0
R119,13.49,70.46,Top,270.0
R120, 8.43,61.32,Top,90.0
R121, 3.00,54.51,Top,270.0
R122,16.41,70.46,Top,270.0
R123,21.21,79.00,Top,0.0
R124,18.16,77.47,Top,180.0
R125,16.89,61.32,Top,270.0
R126,20.35,61.32,Top,270.0
R127,21.41,61.32,Top,270.0
R128,22.48,61.32,Top,270.0
R129,23.01,70.46,Top,270.0
R130,17.96,61.32,Top,90.0
R131,26.54,70.46,Top,270.0
R132,31.34,79.00,Top,0.0
R133,28.30,77.47,Top,180.0
R134,27.03,61.32,Top,270.0
R135,30.48,61.32,Top,270.0
R136,31.55,61.32,Top,270.0
R137,32.61,61.32,Top,270.0
R138,33.15,70.46,Top,270.0
R139,28.09,61.32,Top,90.0
R140,35.97,70.48,Top,270.0
R141,41.50,79.00,Top,0.0
R142,38.46,77.47,Top,180.0
R143,36.45,61.34,Top,270.0
R144,39.90,61.34,Top,270.0
R145,40.97,61.34,Top,270.0
R146,42.04,61.34,Top,270.0
R147,42.57,70.48,Top,270.0
R148,37.52,61.34,Top,90.0
R149,57.38,70.46,Top,270.0
R150,61.54,79.00,Top,0.0
R151,58.50,77.47,Top,180.0
R152,57.86,61.32,Top,270.0
R153,61.32,61.32,Top,270.0
R154,62.38,61.32,Top,270.0
R155,63.45,61.32,Top,270.0
R156,63.98,70.46,Top,270.0
R157,58.93,61.32,Top,90.0
R158,53.49,54.51,Top,270.0
R159,66.90,70.46,Top,270.0
R160,71.70,79.00,Top,0.0
R161,68.66,77.47,Top,180.0
R162,67.39,61.32,Top,270.0
R163,70.84,61.32,Top,270.0
R164,71.91,61.32,Top,270.0
R165,72.97,61.32,Top,270.0
R166,73.51,70.46,Top,270.0
R167,68.45,61.32,Top,90.0
R168,77.04,70.46,Top,270.0
R169,81.84,79.00,Top,0.0
R170,78.79,77.47,Top,180.0
R171,77.52,61.32,Top,270.0
R172,80.98,61.32,Top,270.0
R173,82.04,61.32,Top,270.0
R174,83.11,61.32,Top,270.0
R175,83.64,70.46,Top,270.0
R176,78.59,61.32,Top,90.0
R177,86.46,70.48,Top,270.0
R178,92.00,79.00,Top,0.0
R179,88.95,77.47,Top,180.0
R180,86.94,61.34,Top,270.0
R181,90.40,61.34,Top,270.0
R182,91.47,61.34,Top,270.0
R183,92.53,61.34,Top,270.0
R184,93.07,70.48,Top,270.0
R185,88.01,61.34,Top,90.0
U2, 9.53,32.77,Top,90.0
U3,19.69,32.77,Top,90.0
U4,29.82,32.77,Top,90.0
U5,39.98,32.77,Top,90.0
U9,60.02,32.77,Top,90.0
U10,70.18,32.77,Top,90.0
U11,80.31,32.77,Top,90.0
U12,90.47,32.77,Top,90.0
U13, 9.53,83.26,Top,90.0
U14,19.69,83.26,Top,90.0
U15,29.82,83.26,Top,90.0
U16,39.98,83.26,Top,90.0
U17,60.02,83.26,Top,90.0
U18,70.18,83.26,Top,90.0
U19,80.31,83.26,Top,90.0
U20,90.47,83.26,Top,90.0
